"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","13095","Screenshots and reporting","webkit","Fri Mar 21 10:04:34 GMT 2025","passed","Fri Mar 21 10:04:47 GMT 2025","","test-4.spec.ts","",""
"","0","compare runtime images","firefox","Fri Mar 21 10:03:50 GMT 2025","skipped","Fri Mar 21 10:03:50 GMT 2025","A test suite","test-3.spec.ts","",""
"","19335","test","chromium","Fri Mar 21 10:03:57 GMT 2025","failed","Fri Mar 21 10:04:17 GMT 2025","","test-2.spec.ts","",""
"","8562","Screenshots and reporting","chromium","Fri Mar 21 10:03:58 GMT 2025","passed","Fri Mar 21 10:04:07 GMT 2025","","test-4.spec.ts","",""
"","21742","test","firefox","Fri Mar 21 10:03:58 GMT 2025","failed","Fri Mar 21 10:04:20 GMT 2025","","test-2.spec.ts","",""
"","1","compare runtime images","webkit","Fri Mar 21 10:04:22 GMT 2025","skipped","Fri Mar 21 10:04:22 GMT 2025","A test suite","test-3.spec.ts","",""
"","22332","test","webkit","Fri Mar 21 10:04:29 GMT 2025","broken","Fri Mar 21 10:04:52 GMT 2025","","test-2.spec.ts","",""
"","16544","Screenshots and reporting","firefox","Fri Mar 21 10:03:58 GMT 2025","passed","Fri Mar 21 10:04:14 GMT 2025","","test-4.spec.ts","",""
"","34","compare runtime images","chromium","Fri Mar 21 10:03:50 GMT 2025","skipped","Fri Mar 21 10:03:50 GMT 2025","A test suite","test-3.spec.ts","",""
